public_station_id,timestamp,active_bases,available_bikes,free_bases,status,real_status
5,2025-04-08 09:00:01,27,17,10,1,active
8,2025-04-08 09:00:01,24,7,17,1,active
10,2025-04-08 09:00:01,23,3,20,1,active
11,2025-04-08 09:00:01,23,1,22,1,active
609,2025-04-08 09:00:01,23,1,22,1,active
408,2025-04-08 09:00:01,23,14,9,1,active
409,2025-04-08 09:00:01,23,16,7,1,active
606,2025-04-08 09:00:01,23,3,20,1,active
349,2025-04-08 09:00:01,24,10,14,1,active
544,2025-04-08 09:00:01,23,16,7,1,active
552,2025-04-08 09:00:01,27,16,11,1,active
542,2025-04-08 09:00:01,17,17,0,1,active
608,2025-04-08 09:00:01,23,0,23,1,active
278,2025-04-08 09:00:01,23,18,5,1,active
289,2025-04-08 09:00:01,22,2,20,1,active
402,2025-04-08 09:00:01,31,26,5,1,active
543,2025-04-08 09:00:01,22,19,3,1,active
277,2025-04-08 09:00:01,15,10,5,1,active
282,2025-04-08 09:00:01,23,18,5,1,active
263,2025-04-08 09:00:01,23,7,16,1,active
559,2025-04-08 09:00:01,23,16,7,1,active
581,2025-04-08 09:00:01,24,14,10,1,active
598,2025-04-08 09:00:01,24,8,16,1,active
341,2025-04-08 09:00:01,27,8,19,1,active
346,2025-04-08 09:00:01,24,1,23,1,active
347,2025-04-08 09:00:01,24,15,9,1,active
528,2025-04-08 09:00:01,24,16,8,1,active
312,2025-04-08 09:00:01,27,8,19,1,active
310,2025-04-08 09:00:01,23,11,12,1,active
283,2025-04-08 09:00:01,24,13,11,1,active
564,2025-04-08 09:00:01,23,8,15,1,active
468,2025-04-08 09:00:01,23,9,14,1,active
414,2025-04-08 09:00:01,21,8,13,1,active
380,2025-04-08 09:00:01,23,14,9,1,active
354,2025-04-08 09:00:01,22,0,22,1,active
318,2025-04-08 09:00:01,22,18,4,1,active
549,2025-04-08 09:00:01,19,7,12,1,active
279,2025-04-08 09:00:01,29,21,8,1,active
407,2025-04-08 09:00:01,23,15,8,1,active
276,2025-04-08 09:00:01,21,2,19,1,active
381,2025-04-08 09:00:01,24,16,8,1,active
444,2025-04-08 09:00:01,23,17,6,1,active
448,2025-04-08 09:00:01,27,2,25,1,active
472,2025-04-08 09:00:01,27,18,9,1,active
474,2025-04-08 09:00:01,26,22,4,1,active
541,2025-04-08 09:00:01,23,4,19,1,active
546,2025-04-08 09:00:01,23,3,20,1,active
550,2025-04-08 09:00:01,23,17,6,1,active
553,2025-04-08 09:00:01,21,15,6,1,active
603,2025-04-08 09:00:01,22,9,13,1,active
610,2025-04-08 09:00:01,23,8,15,1,active
237,2025-04-08 09:00:01,23,1,22,1,active
262,2025-04-08 09:00:01,23,5,18,1,active
611,2025-04-08 09:00:01,23,6,17,1,active
176,2025-04-08 09:00:01,23,21,2,1,active
272,2025-04-08 09:00:01,27,19,8,1,active
411,2025-04-08 09:00:01,22,14,8,1,active
473,2025-04-08 09:00:01,26,16,10,1,active
12,2025-04-08 09:00:01,27,6,21,1,active
13,2025-04-08 09:00:01,23,17,6,1,active
14,2025-04-08 09:00:01,26,4,22,1,active
15,2025-04-08 09:00:01,18,2,16,1,active
16,2025-04-08 09:00:01,19,2,17,1,active
17,2025-04-08 09:00:01,23,0,23,1,active
601,2025-04-08 09:00:01,24,12,12,1,active
320,2025-04-08 09:00:01,19,14,5,1,active
24,2025-04-08 09:00:01,18,14,4,1,active
26,2025-04-08 09:00:01,27,8,19,1,active
30,2025-04-08 09:00:01,26,21,5,1,active
35,2025-04-08 09:00:01,23,15,8,1,active
36,2025-04-08 09:00:01,20,4,16,1,active
40,2025-04-08 09:00:01,0,0,0,1,inactive
41,2025-04-08 09:00:01,17,0,17,1,active
42,2025-04-08 09:00:01,33,9,24,1,active
45,2025-04-08 09:00:01,19,18,1,1,active
47,2025-04-08 09:00:01,22,18,4,1,active
48,2025-04-08 09:00:01,22,13,9,1,active
52,2025-04-08 09:00:01,0,0,0,1,inactive
54,2025-04-08 09:00:01,18,1,17,1,active
55,2025-04-08 09:00:01,24,0,24,1,active
57,2025-04-08 09:00:01,23,10,13,1,active
59,2025-04-08 09:00:01,19,0,19,1,active
61,2025-04-08 09:00:01,27,20,7,1,active
62,2025-04-08 09:00:01,27,18,9,1,active
63,2025-04-08 09:00:01,22,14,8,1,active
65,2025-04-08 09:00:01,24,11,13,1,active
70,2025-04-08 09:00:01,27,10,17,1,active
71,2025-04-08 09:00:01,24,16,8,1,active
72,2025-04-08 09:00:01,23,9,14,1,active
73,2025-04-08 09:00:01,24,7,17,1,active
74,2025-04-08 09:00:01,26,8,18,1,active
76,2025-04-08 09:00:01,22,8,14,1,active
77,2025-04-08 09:00:01,24,18,5,1,active
78,2025-04-08 09:00:01,30,18,12,1,active
79,2025-04-08 09:00:01,28,8,20,1,active
82,2025-04-08 09:00:01,23,9,14,1,active
83,2025-04-08 09:00:01,22,19,3,1,active
84,2025-04-08 09:00:01,20,5,15,1,active
87,2025-04-08 09:00:01,24,9,15,1,active
88,2025-04-08 09:00:01,22,9,13,1,active
89,2025-04-08 09:00:01,22,3,19,1,active
90,2025-04-08 09:00:01,25,18,7,1,active
92,2025-04-08 09:00:01,23,5,18,1,active
95,2025-04-08 09:00:01,21,7,14,1,active
96,2025-04-08 09:00:01,26,16,10,1,active
97,2025-04-08 09:00:01,26,19,7,1,active
98,2025-04-08 09:00:01,25,16,9,1,active
99,2025-04-08 09:00:01,23,3,20,1,active
100,2025-04-08 09:00:01,27,2,25,1,active
101,2025-04-08 09:00:01,24,8,16,1,active
102,2025-04-08 09:00:01,23,2,21,1,active
105,2025-04-08 09:00:01,23,16,7,1,active
106B,2025-04-08 09:00:01,19,10,9,1,active
109,2025-04-08 09:00:01,23,3,20,1,active
111A,2025-04-08 09:00:01,23,9,14,1,active
111B,2025-04-08 09:00:01,22,15,7,1,active
9,2025-04-08 09:00:01,24,17,7,1,active
4,2025-04-08 09:00:01,26,1,25,1,active
46,2025-04-08 09:00:01,26,12,14,1,active
321,2025-04-08 09:00:01,25,20,5,1,active
81,2025-04-08 09:00:01,24,7,17,1,active
547,2025-04-08 09:00:01,31,27,1,1,active
51,2025-04-08 09:00:01,25,10,15,1,active
342,2025-04-08 09:00:01,23,7,16,1,active
91,2025-04-08 09:00:01,22,1,21,1,active
27,2025-04-08 09:00:01,25,13,12,1,active
340,2025-04-08 09:00:01,27,13,14,1,active
49,2025-04-08 09:00:01,27,10,17,1,active
85,2025-04-08 09:00:01,27,0,27,1,active
18,2025-04-08 09:00:01,24,2,22,1,active
6,2025-04-08 09:00:01,19,0,19,1,active
19,2025-04-08 09:00:01,28,4,24,1,active
58,2025-04-08 09:00:01,27,2,25,1,active
67,2025-04-08 09:00:01,22,14,8,1,active
311,2025-04-08 09:00:01,27,18,9,1,active
69,2025-04-08 09:00:01,25,15,10,1,active
53,2025-04-08 09:00:01,25,4,21,1,active
44,2025-04-08 09:00:01,15,0,15,1,active
43,2025-04-08 09:00:01,17,0,17,1,active
39,2025-04-08 09:00:01,28,14,14,1,active
75,2025-04-08 09:00:01,27,1,26,1,active
3,2025-04-08 09:00:01,19,3,16,1,active
103,2025-04-08 09:00:01,23,22,1,1,active
37,2025-04-08 09:00:01,31,19,12,1,active
60,2025-04-08 09:00:01,23,14,9,1,active
465,2025-04-08 09:00:01,24,13,11,1,active
20,2025-04-08 09:00:01,34,27,2,1,active
68,2025-04-08 09:00:01,19,3,16,1,active
613,2025-04-08 09:00:01,26,14,12,1,active
628 ,2025-04-08 09:00:01,23,16,7,1,active
619,2025-04-08 09:00:01,24,18,6,1,active
623 ,2025-04-08 09:00:01,26,23,2,1,active
614,2025-04-08 09:00:01,23,19,4,1,active
618,2025-04-08 09:00:01,17,9,8,1,active
625,2025-04-08 09:00:01,24,19,5,1,active
615,2025-04-08 09:00:01,22,11,11,1,active
622,2025-04-08 09:00:01,23,14,9,1,active
617,2025-04-08 09:00:01,23,6,17,1,active
626,2025-04-08 09:00:01,22,14,8,1,active
627,2025-04-08 09:00:01,24,16,8,1,active
624 ,2025-04-08 09:00:01,28,23,0,1,active
630,2025-04-08 09:00:01,23,6,17,1,active
629,2025-04-08 09:00:01,23,13,10,1,active
620,2025-04-08 09:00:01,24,14,10,1,active
621,2025-04-08 09:00:01,23,6,17,1,active
616,2025-04-08 09:00:01,23,8,15,1,active
7,2025-04-08 09:00:01,19,2,17,1,active
50,2025-04-08 09:00:01,28,24,3,1,active
112,2025-04-08 09:00:01,23,7,16,1,active
113,2025-04-08 09:00:01,24,11,13,1,active
114,2025-04-08 09:00:01,23,11,12,1,active
115,2025-04-08 09:00:01,23,15,8,1,active
116A,2025-04-08 09:00:01,18,7,11,1,active
116B,2025-04-08 09:00:01,17,16,1,1,active
117,2025-04-08 09:00:01,23,7,16,1,active
118,2025-04-08 09:00:01,23,12,11,1,active
119,2025-04-08 09:00:01,22,17,5,1,active
120,2025-04-08 09:00:01,33,21,12,1,active
121,2025-04-08 09:00:01,26,2,24,1,active
122,2025-04-08 09:00:01,23,6,17,1,active
123,2025-04-08 09:00:01,26,4,22,1,active
124,2025-04-08 09:00:01,27,0,27,1,active
125,2025-04-08 09:00:01,27,1,26,1,active
126,2025-04-08 09:00:01,27,0,27,1,active
127,2025-04-08 09:00:01,27,4,23,1,active
128,2025-04-08 09:00:01,26,10,16,1,active
129,2025-04-08 09:00:01,26,1,25,1,active
130,2025-04-08 09:00:01,23,7,16,1,active
131,2025-04-08 09:00:01,23,5,18,1,active
